"","rule","precision","recall"
"1","<{ence.status.PCE_ENCE_communication_DOWN},{ence.status.PCE_ENCE_communication_DOWN}>",0.56263023,0.56263023
"","rule","precision","recall"
"1","<{node.unit.monitor_detected_unit_DOWN},{node.unit.monitor_detected_unit_DOWN}>",0.38062216,0.38062216
"2","<{clc.SAMCLC_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.34527157,0.34527157
"3","<{clc.IM_CLC_connection_status_DOWN,clc.SAMCLC_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.32584055,0.037853518
"4","<{clc.IM_CLC_connection_status_DOWN},{clc.IM_CLC_connection_status_DOWN}>",0.25731294,0.25731294
"5","<{clc.IM_CLC_connection_status_DOWN,clc.SAMCLC_CLC_connection_status_DOWN},{clc.IM_CLC_connection_status_DOWN}>",0.08036436,0.015162887
"6","<{clc.IM_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.01428571,0.007407407
"","rule","precision","recall"
"1","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.81837925,0.139518856
"2","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.81741448,0.138414476
"3","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.81691086,0.137192858
"4","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.81596435,0.136088478
"5","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.8119313,0.136836003
"6","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.81096476,0.203961055
"7","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.81093921,0.135739293
"8","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.81025664,0.134403023
"9","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.80956724,0.197830812
"10","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.80946894,0.196154374
"11","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.80924021,0.133306313
"12","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.80560003,0.200617734
"13","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76720989,0.145869486
"14","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76689071,0.143543488
"15","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76616551,0.144765106
"16","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76587718,0.142439108
"17","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76363135,0.212876935
"18","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76296189,0.206746682
"19","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.76249091,0.204511914
"20","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.76047684,0.142606593
"21","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.75987364,0.140173613
"22","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.75939643,0.141509893
"23","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.75878049,0.139076913
"24","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.75821824,0.208975254
"25","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.68418964,0.64579299
"26","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.67834574,0.66918384
"27","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.67545221,0.64634458
"28","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.67038681,0.67038681
"29","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.66907132,0.66907132
"30","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.65935198,0.66788316
"31","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.41314776,0.37694153
"32","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.40889184,0.36014482
"33","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.38775491,0.38775491
"34","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.383968,0.3709582
"35","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.30315035,0.181762619
"36","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.30176081,0.181762619
"37","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.29990808,0.175818949
"38","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.29849052,0.175818949
"39","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.27637629,0.182997189
"40","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.27513562,0.182997189
"41","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.27341981,0.177053519
"42","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.27214322,0.177053519
"43","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.23627522,0.202272018
"44","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.23505548,0.202272018
"45","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO}>",0.22468084,0.19651592
