"","rule","precision","recall"
"1","<{ence.status.PCE_ENCE_communication_DOWN},{ence.status.PCE_ENCE_communication_DOWN}>",0.68526639,0.68526639
"","rule","precision","recall"
"1","<{node.unit.monitor_detected_unit_DOWN},{node.unit.monitor_detected_unit_DOWN}>",0.5515264,0.5515264
"2","<{clc.IM_CLC_connection_status_DOWN},{clc.IM_CLC_connection_status_DOWN}>",0.41728969,0.41728969
"3","<{clc.SAMCLC_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.41099065,0.41099065
"4","<{clc.IM_CLC_connection_status_DOWN,clc.SAMCLC_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.40115865,0.073741513
"5","<{clc.IM_CLC_connection_status_DOWN,clc.SAMCLC_CLC_connection_status_DOWN},{clc.IM_CLC_connection_status_DOWN}>",0.20459002,0.058016648
"6","<{clc.IM_CLC_connection_status_DOWN},{clc.SAMCLC_CLC_connection_status_DOWN}>",0.15888423,0.136063016
"7","<{clc.SAMCLC_CLC_connection_status_DOWN},{clc.IM_CLC_connection_status_DOWN}>",0.10028059,0.102982159
"","rule","precision","recall"
"1","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.90311625,0.39333484
"2","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.90311625,0.39333484
"3","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.90281383,0.39158046
"4","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.90281383,0.39158046
"5","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.89899642,0.3999157
"6","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.898694,0.39816132
"7","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.89588915,0.40161062
"8","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.89549203,0.39816132
"9","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.89158789,0.39357806
"10","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.89158789,0.39357806
"11","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.89118466,0.39179235
"12","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.89118466,0.39179235
"13","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.88508279,0.39882224
"14","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.88467956,0.39703653
"15","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.88316599,0.54676331
"16","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.88235852,0.55756952
"17","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.88197552,0.40051716
"18","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.88181739,0.55710485
"19","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.88147759,0.39703653
"20","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.88105827,0.56791106
"21","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.87425175,0.56034792
"22","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.87156308,0.54611819
"23","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.86792392,0.56849065
"24","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.86511942,0.55426092
"25","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.8001828,0.78889655
"26","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.79523375,0.75649172
"27","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.78961581,0.78961581
"28","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.78902397,0.78902397
"29","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.78055866,0.75349904
"30","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.76943982,0.78051238
"31","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62177256,0.59588624
"32","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62149345,0.60832769
"33","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62071322,0.62071322
"34","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.62062681,0.60827177
"35","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO}>",0.57970937,0.39485546
