"","rule","precision","recall"
"1","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.66291358,0.161087459
"2","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.65853245,0.164156787
"3","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.64613153,0.159854861
"4","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP}>",0.64474139,0.163888141
"5","<{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.63126039,0.170747397
"6","<{clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.62612864,0.173816744
"7","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.61920501,0.108311328
"8","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.61837948,0.106558072
"9","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.61744196,0.107214628
"10","<{clc.NCEC_OCS_state_CON_chann0_DO_chann1_DO,clc.NCEC_OCS_state_CON_chann0_DO_chann1_UP,clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO,clc.NCEC_OCS_state_DIS_chann0_DO_chann1_DO},{clc.NCEC_OCS_state_CON_chann0_UP_chann1_DO}>",0.61661765,0.105461372
