"","rule","precision","recall"
"1","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.37,0.018550394
"2","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.3,0.007977216
"3","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.3,0.007977216
"4","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.24333333,0.062037037
"5","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.22333333,0.053111564
"6","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.22119242,0.22119242
"7","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.036111113
"8","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.036111113
"9","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"10","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"11","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"12","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.005977216
"13","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.15046296,0.032978437
"14","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.14685185,0.032978437
"15","<{clc.BD_status_MISSING},{clc.BD_status_MISSING}>",0.12763222,0.12763222
"16","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.12,0.013871636
"17","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11851852,0.11740741
"18","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.11740741,0.11740741
"19","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10846272,0.023233665
"20","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10667701,0.023233665
"21","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10653964,0.023233665
"22","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.10475393,0.023233665
