"","rule","precision","recall"
"1","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.48,0.08805555
"2","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.35666667,0.14456348
"3","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.35,0.09539682
"4","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.35,0.039722219
"5","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.35,0.09539682
"6","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.35,0.039722219
"7","<{clc.BD_status_MISSING},{clc.BD_status_MISSING}>",0.31805063,0.31805063
"8","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.31666667,0.31666667
"9","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.28666667,0.14801586
"10","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.07539682
"11","<{clc.BD_status_MISSING,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.07539682
"12","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.04206349
"13","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.019166667
"14","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.05039682
"15","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.04206349
"16","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.019166667
"17","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.05039682
"18","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.04206349
"19","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.019166667
"20","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.05039682
"21","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.2,0.04206349
"22","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.2,0.019166667
"23","<{clc.BD_status_MISSING,clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_ALIVE_chann_BROKEN}>",0.2,0.05039682
"24","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.19964285,0.088611112
"25","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.BD_status_MISSING}>",0.19821428,0.071316813
"26","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE,clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.BD_status_MISSING}>",0.19821428,0.071316813
"27","<{clc.NCEC_status_NOT_ALIVE_chann_BROKEN},{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE}>",0.19119047,0.088611112
"28","<{clc.NCEC_status_ALIVE_chann_BROKEN,clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.BD_status_MISSING}>",0.18968253,0.071316813
"29","<{clc.NCEC_status_ALIVE_chann_BROKEN},{clc.BD_status_MISSING}>",0.18412697,0.071316813
"30","<{clc.NCEC_status_NOT_ALIVE_chann_ACTIVE},{clc.NCEC_status_NOT_ALIVE_chann_BROKEN}>",0.17861111,0.40464286
